FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
94,Koppa,440,Loamy Sand,Inceptisols,Typic Haplustepts,76.75339,12.65717,44.0,81.4,7.0,11.5,0.4,6.15,0.19,1.581,0.127,0.071,0.403,0.056,24.5
95,Sivana Samudra,670,Sandy Clay Loam,Alfisols,Typic Haplustalfs,77.17379,12.28678,115.0,57.2,8.2,34.0,0.72,6.59,0.16,1.543,0.311,0.21,0.418,0.101,116.6
96,Sivana Samudra,670,Sandy Clay,Alfisols,Typic Haplustalfs,77.17379,12.28678,115.0,49.7,6.2,40.5,0.54,6.4,0.07,1.506,0.357,0.246,0.432,0.111,127.8
97,Sivana Samudra,670,Sandy Clay,Alfisols,Typic Haplustalfs,77.17379,12.28678,115.0,47.0,7.5,42.8,0.48,6.22,0.09,1.488,0.372,0.258,0.438,0.114,131.2
98,Sivana Samudra,670,Sandy Clay,Alfisols,Typic Haplustalfs,77.17379,12.28678,115.0,54.2,4.8,38.8,0.6,6.33,0.09,1.527,0.342,0.236,0.424,0.106,121.8
99,Sivana Samudra,670,Sandy Clay Loam,Alfisols,Typic Haplustalfs,77.17379,12.28678,115.0,50.0,9.8,38.8,0.45,6.2,0.1,1.517,0.345,0.235,0.427,0.11,126.9
100,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.13007,12.2459,120.0,25.5,7.5,62.2,0.33,8.33,0.27,1.266,0.484,0.366,0.522,0.118,141.9
101,Telanuru,698,Clay Loam,Vertisols,Typic Haplusterts,77.13007,12.2459,120.0,31.4,29.5,38.8,0.36,7.96,0.25,1.453,0.365,0.233,0.452,0.132,157.9
102,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.13007,12.2459,120.0,17.6,9.5,71.5,0.24,8.6,0.3,1.142,0.523,0.416,0.569,0.107,128.4
103,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.13007,12.2459,120.0,17.3,11.8,67.5,0.27,8.39,0.24,1.177,0.504,0.393,0.556,0.11,132.4
104,Telanuru,698,Clay,Vertisols,Typic Haplusterts,77.13007,12.2459,120.0,20.4,9.5,67.0,0.21,8.31,0.23,1.195,0.505,0.392,0.549,0.114,136.6
105,Ram Samudra,600,Clay,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,44.0,10.2,45.8,0.39,7.6,0.19,1.463,0.392,0.275,0.448,0.117,166.2
106,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,57.4,3.2,38.2,0.57,7.12,0.22,1.542,0.335,0.233,0.418,0.102,144.8
107,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,47.5,15.2,37.2,0.45,7.8,0.22,1.514,0.339,0.226,0.429,0.113,160.7
108,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,52.6,6.2,40.8,0.54,7.5,0.21,1.517,0.356,0.248,0.428,0.108,153.8
109,Ram Samudra,600,Sandy Clay Loam,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,55.1,14.5,28.0,0.24,7.12,0.14,1.581,0.272,0.17,0.403,0.101,144.0
110,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,77.14367,12.24777,142.0,55.5,6.8,39.8,0.3,7.5,0.15,1.54,0.344,0.24,0.419,0.104,148.1
111,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,54.2,8.2,37.0,0.29,6.19,0.67,1.546,0.328,0.224,0.416,0.104,107.6
112,Besagarahalli,92,Sandy Clay Loam,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,70.9,6.0,22.2,1.18,6.26,0.78,1.545,0.227,0.147,0.417,0.08,82.7
113,Besagarahalli,92,Sandy Clay Loam,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,66.5,5.0,28.5,0.88,6.36,0.42,1.566,0.267,0.18,0.409,0.087,89.7
114,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,49.3,7.2,42.2,0.22,7.48,0.93,1.508,0.366,0.254,0.431,0.112,115.0
115,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,51.2,5.0,40.0,0.46,6.88,0.59,1.517,0.352,0.242,0.428,0.109,112.7
116,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.86972,12.57317,103.0,48.6,8.5,41.2,0.44,7.82,0.58,1.502,0.362,0.249,0.433,0.112,115.7
117,Gaudagiri,219,Clay,Entisols,Typic Ustorthents,76.75309,12.61309,18.0,45.0,10.8,44.2,1.0,7.4,0.31,1.459,0.385,0.269,0.449,0.116,20.9
118,Gaudagiri,219,Sandy Clay,Entisols,Typic Ustorthents,76.75309,12.61309,18.0,51.0,9.0,40.0,0.5,7.41,0.32,1.515,0.352,0.243,0.428,0.11,19.7
119,Ugranahalli,714,Sandy Loam,Alfisols,Typic Rhodustalfs,76.73288,12.68851,58.0,75.7,9.2,15.1,0.49,6.0,1.2,1.588,0.161,0.095,0.401,0.066,38.5
120,Ugranahalli,714,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.73288,12.68851,58.0,58.0,12.4,29.6,0.49,5.3,0.8,1.567,0.28,0.182,0.409,0.098,57.0
121,Hosakere,301,Sandy Loam,Inceptisols,Typic Haplustepts,76.463,12.78236,83.0,54.0,28.0,18.0,0.33,8.1,0.3,1.59,0.219,0.112,0.4,0.107,88.6
122,Hosakere,301,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.463,12.78236,83.0,55.0,24.0,21.0,0.42,6.9,0.4,1.579,0.235,0.131,0.404,0.104,86.4
123,Hosakere,301,Sandy Loam,Inceptisols,Typic Haplustepts,76.463,12.78236,83.0,70.0,19.0,11.0,0.38,7.2,0.5,1.587,0.148,0.069,0.401,0.078,65.0
124,Kallur,382,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.54254,12.84616,100.0,59.6,10.4,30.0,0.98,5.49,0.03,1.539,0.288,0.189,0.419,0.099,98.6
125,Kallur,382,Sandy Loam,Alfisols,Typic Haplustalfs,76.54254,12.84616,100.0,70.0,12.4,17.6,1.22,5.18,0.06,1.523,0.203,0.121,0.425,0.083,82.6
126,Kallur,382,Sandy Clay,Alfisols,Typic Haplustalfs,76.54254,12.84616,100.0,45.0,18.4,35.6,0.43,5.5,0.02,1.513,0.333,0.216,0.429,0.116,116.5
127,Kallur,382,Clay Loam,Alfisols,Typic Haplustalfs,76.54254,12.84616,100.0,45.4,9.6,35.0,0.56,5.68,0.02,1.508,0.33,0.214,0.431,0.117,116.5
128,Nadaboganahalli,547,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.51479,12.75776,105.0,63.0,9.8,25.5,1.1,7.26,0.46,1.537,0.258,0.165,0.42,0.094,98.4
129,Nadaboganahalli,547,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.51479,12.75776,105.0,66.0,3.2,29.5,0.5,7.12,0.27,1.588,0.267,0.182,0.401,0.086,90.3
130,Nadaboganahalli,547,Sandy Clay,Inceptisols,Typic Haplustepts,76.51479,12.75776,105.0,54.0,4.2,42.8,1.3,6.91,0.23,1.497,0.372,0.264,0.435,0.108,113.9
131,Nadaboganahalli,547,Sandy Clay,Inceptisols,Typic Haplustepts,76.51479,12.75776,105.0,48.5,4.8,46.5,0.8,6.42,0.19,1.473,0.395,0.281,0.444,0.114,119.2
132,Nadaboganahalli,547,Sandy Clay,Inceptisols,Typic Haplustepts,76.51479,12.75776,105.0,48.5,4.8,46.2,1.5,6.54,0.19,1.463,0.396,0.283,0.448,0.113,118.5
133,Tumbapura,709,Clay Loam,Inceptisols,Fluventic Haplustepts,76.40363,12.72746,140.0,53.6,18.7,27.7,0.1,7.5,0.75,1.589,0.27,0.167,0.4,0.103,144.2
