FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
119,Anugatta,28,Sandy Clay Loam,Ultisols,Typic Paleustalfs,75.97479,12.3478,138.0,57.0,9.0,34.0,0.18,5.4,0.25,1.571,0.304,0.205,0.407,0.099,137.1
120,Kalkere,373,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.23235,11.93702,116.0,61.4,14.2,22.5,2.57,6.6,0.09,1.397,0.274,0.165,0.473,0.108,125.7
121,Kalkere,373,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.23235,11.93702,116.0,59.4,11.5,28.9,1.51,6.3,0.07,1.501,0.29,0.188,0.433,0.102,118.3
122,Kalkere,373,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.23235,11.93702,116.0,59.3,11.2,29.6,0.45,6.2,0.06,1.573,0.278,0.182,0.406,0.096,111.4
123,Kalkere,373,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.23235,11.93702,116.0,58.8,9.7,31.5,0.92,6.3,0.06,1.54,0.297,0.197,0.419,0.1,115.5
124,Kalkere,373,Sandy Clay Loam,Mollisols,Pachic Argiustolls,76.23235,11.93702,116.0,50.6,16.1,33.4,0.36,6.1,0.06,1.544,0.312,0.203,0.418,0.109,126.3
125,Koppa,440,Sandy Loam,Inceptisols,Typic Haplustepts,76.3695,12.13724,44.0,88.7,5.5,13.8,0.28,6.57,1.6,1.599,0.123,0.082,0.397,0.041,18.0
126,Koppa,440,Sandy Clay,Inceptisols,Typic Haplustepts,76.3695,12.13724,44.0,52.2,8.8,39.0,0.44,7.57,0.32,1.525,0.344,0.236,0.425,0.108,47.5
127,Koppa,440,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.3695,12.13724,44.0,71.4,4.0,24.5,0.28,7.08,2.69,1.616,0.223,0.149,0.39,0.074,32.5
128,Koppa,440,Loamy Sand,Inceptisols,Typic Haplustepts,76.3695,12.13724,44.0,77.9,3.0,8.2,0.36,6.62,0.19,1.573,0.115,0.051,0.406,0.064,28.1
129,Koppa,440,Loamy Sand,Inceptisols,Typic Haplustepts,76.3695,12.13724,44.0,81.4,7.0,11.5,0.4,6.15,0.19,1.581,0.127,0.071,0.403,0.056,24.5
130,Kumsi,460,Sandy Clay,Inceptisols,Typic Haplustepts,76.54052,12.28882,96.0,46.4,15.5,37.5,1.17,5.31,0.05,1.472,0.349,0.232,0.445,0.116,111.8
131,Kumsi,460,Sandy Clay,Inceptisols,Typic Haplustepts,76.54052,12.28882,96.0,47.0,15.8,36.5,1.32,5.91,0.07,1.468,0.344,0.228,0.446,0.116,111.8
132,Kumsi,460,Sandy Clay,Inceptisols,Typic Haplustepts,76.54052,12.28882,96.0,46.5,15.8,36.8,0.9,5.61,0.05,1.488,0.342,0.226,0.439,0.116,111.2
133,Kumsi,460,Sandy Clay,Inceptisols,Typic Haplustepts,76.54052,12.28882,96.0,50.3,9.5,39.2,0.51,5.56,0.04,1.514,0.348,0.238,0.429,0.11,105.9
134,Kumsi,460,Clay,Inceptisols,Typic Haplustepts,76.54052,12.28882,96.0,40.3,9.2,49.5,0.21,6.46,0.05,1.428,0.415,0.295,0.461,0.12,115.4
